title,price_gbp,url,height_cm,width_cm,description,media
"""Stroke"" by Deanna Lewis",440.00,https://www.bearspace.co.uk/product-page/stroke-by-deanna-lewis,40,60,"Acrylic and oil paint on canvas,40 x 60 cm,Original artwork, ,For this particular collection of work Deanna studied finger prints left on computer screens, adding and removing oil paint to embody them.The white areas of her paintings represent the idea of an ‘edge’, a conceptual and formal device used to emphasise the concentrated detail along the line she creates.,Read more about the artist",Acrylic and oil paint on canvas
The Reaches by Chris Hawtin,940.00,https://www.bearspace.co.uk/product-page/the-reaches-by-chris-hawtin,50,60,"Oil on canvas,50x60cm,Original artwork, ,£94 a month on the ,Own Art Scheme, ,Email ,info@bearspace.co.uk, to apply online, available accross our range, ",Oil on canvas
The Castle by Chris Hawtin,1400.00,https://www.bearspace.co.uk/product-page/the-castle-by-chris-hawtin,90,70,"Oil & acrylic on canvas,90x70 cm,2018, ,£140 a month on the, Own Art Scheme, email ,info@bearspace.co.uk, to apply.",Oil & acrylic on canvas
Take Our Time (Someday) by Chris Hawtin,640.00,https://www.bearspace.co.uk/product-page/take-our-time-someday-by-chris-hawtin,40,30,"Oil and acrylic on canvas,40x30cm,2018, ,£64 a month on the, Own Art Scheme, email ,info@bearspace.co.uk, to apply.",Oil and acrylic on canvas
The Mortal Frame by Chris Hawtin,1600.00,https://www.bearspace.co.uk/product-page/the-mortal-frame-by-chris-hawtin,99,99,"Oil & acrylic on canvas,99x99 cm,2018, ,£160 a month on the, Own Art Scheme, email ,info@bearspace.co.uk, to apply.",Oil & acrylic on canvas
Guiding Light by Chris Hawtin,695.00,https://www.bearspace.co.uk/product-page/guiding-light-by-chris-hawtin,40,30,"Oil & acrylic on canvas,40x30cm,2018, ,£69.50 a month on the, Own Art Scheme, email ,info@bearspace.co.uk, to apply.",Oil & acrylic on canvas
Sovereign,640.00,https://www.bearspace.co.uk/product-page/sovereign,22,1413.5,"Mixed media,22x1413.5cm,Sculpture with base",Mixed media
Loneliness by Chris Hawtin,640.00,https://www.bearspace.co.uk/product-page/loneliness-by-chris-hawtin,40,30,"Oil, acrylic and pigment on canvas,40x30cm,2018, ,£64 a month on the, Own Art Scheme, email ,info@bearspace.co.uk, to apply.","Oil, acrylic and pigment on canvas"
Embers by Chris Hawtin,640.00,https://www.bearspace.co.uk/product-page/embers-by-chris-hawtin,40,30,"Oil and acrylic on canvas,40x30cm,2018, ,£64 a month on the, Own Art Scheme, email ,info@bearspace.co.uk, to apply.",Oil and acrylic on canvas
Recon Drones by Chris Hawtin,640.00,https://www.bearspace.co.uk/product-page/recon-drones-by-chris-hawtin,22,1413.5,"Mixed media,22x1413.5cm,Sculpture with base",Mixed media
Capital Drone by Chris Hawtin,640.00,https://www.bearspace.co.uk/product-page/capital-drone-by-chris-hawtin,22,1413.5,"Mixed media,22x1413.5cm,Sculpture with base",Mixed media
copy of Recon Drones by Chris Hawtin,640.00,https://www.bearspace.co.uk/product-page/copy-of-recon-drones-by-chris-hawtin,22,1413.5,"Mixed media,22x1413.5cm,Sculpture with base",Mixed media
Yellow Wall by Lucinda Metcalfe,1200.00,https://www.bearspace.co.uk/product-page/yellow-wall-by-lucinda-metcalfe-1,60,80,"60x80cm,Oil Paint and acrylic on board,Supplied with split baton for eacy hanging, piece hangs slightly proud from the wall.",Oil Paint and acrylic on board
The High Way (Pass) by Jane Ward,940.00,https://www.bearspace.co.uk/product-page/the-high-way-peak-by-jane-ward,90,70,"90x70cm,Digital print on Canvas with hand dissolved ink,Edition of 10, ,£94 a month on the ,Own Art Scheme,Email ,info@bearspace.co.uk, to apply online, available accross our range",Digital print on Canvas with hand dissolved ink
Skywalk by Jane Ward,940.00,https://www.bearspace.co.uk/product-page/skywalk-by-jane-ward,90,70,"90x70cm,Digital print on Canvas with dissolved ink,Edition of 10",Digital print on Canvas with dissolved ink
Factory by Chris Hawtin,640.00,https://www.bearspace.co.uk/product-page/factory-by-chris-hawtin,22,1413.5,"Mixed media,22x1413.5cm,Sculpture with base",Mixed media
Bridge Over Garden City State by Jane Ward,1800.00,https://www.bearspace.co.uk/product-page/bridge-over-garden-city-state-by-jane-ward,90,120,"Archival digital print on canvas,90x120 cm,Edition of 5",Archival digital print on canvas
Emplacement 1 by Victoria Ashdown,140.00,https://www.bearspace.co.uk/product-page/emplacement-1-by-victoria-ashdown,30,30,"30x30x5,Porcelain, red acrylic, steel, wire,Original Artwork, ,Using the ceramic process of extruding Ashdown lets gravity determine the shape of the porcelain. Then uses laser cut plastic and wood to fit into the negative spaces created by the porcelain. These processes combine analogy and digital technology., ,Read more about the artist here, ","Porcelain, red acrylic, steel, wire"
Emplacement 2 by Victoria Ashdown,180.00,https://www.bearspace.co.uk/product-page/emplacement-2-by-victoria-ashdown,26,4,"26x4x24,Yellow acrylic, steel and wire,Original Artwork, ,Using the ceramic process of extruding Ashdown lets gravity determine the shape of the porcelain. Then uses laser cut plastic and wood to fit into the negative spaces created by the porcelain. These processes combine analogy and digital technology., ,Read more about the artist here, ","Yellow acrylic, steel and wire"
MYRIORAMA ROOM series - LAMP by Bella Easton,2800.00,https://www.bearspace.co.uk/product-page/myriorama-room-series-lamp-by-bella-easton,89,117,"Artist: Bella Easton,89 x 117cm (including dimensions of frame),88 hand coloured copper plate etchings on 400gsm Velin Arches and conservation board,Edition of 10, ,£280 a month on the Own Art Scheme,Due to the delicate nature of the work, this piece is sold framed (included in the price) , if you would like to discuss having this piece unframed pease do enquire and we can discuss this with you.",88 hand coloured copper plate etchings on 400gsm Velin Arches and conservation board
Chiral II by Bella Easton,940.00,https://www.bearspace.co.uk/product-page/chiral-ii-by-bella-easton,40,18,"Watercolour and hand coloured copper plate etching on Velin Arches,40 X 18CM,Edition of 5,Bespoke frame covered in handmade Japanese paper, ,This frame is included in the sale price of the work, ,£94 a month on the Own Art Scheme, click here for details",Watercolour and hand coloured copper plate etching on Velin Arches
Chiral V by Bella Easton,940.00,https://www.bearspace.co.uk/product-page/chiral-v-by-bella-easton,40,18,"Watercolour and hand coloured copper plate etching on Velin Arches,40 X 18CM,Edition of 5,Bespoke frame covered in handmade Japanese paper, ,This frame is included in the sale price of the work, ,£94 a month on the Own Art Scheme, click here for details",Watercolour and hand coloured copper plate etching on Velin Arches
Chiral III by Bella Easton,940.00,https://www.bearspace.co.uk/product-page/chiral-iii-by-bella-easton,40,18,"Watercolour and hand coloured copper plate etching on Velin Arches,40 X 18CM,Edition of 5,Bespoke frame covered in handmade Japanese paper, ,This frame is included in the sale price of the work, ,£94 a month on the Own Art Scheme, click here for details",Watercolour and hand coloured copper plate etching on Velin Arches
MYRIORAMA ROOM series – FIREPLACE II by Bella Easton,2800.00,https://www.bearspace.co.uk/product-page/myriorama-room-series-fireplace-ii-by-bella-easton,89,117,"Artist: Bella Easton,89 x 117cm (including dimensions of frame),88 hand coloured copper plate etchings on 400gsm Velin Arches and conservation board,Edition of 10, ,£280 a month on the Own Art Scheme,Due to the delicate nature of the work, this piece is sold framed (included in the price) , if you would like to discuss having this piece unframed pease do enquire and we can discuss this with you., ",88 hand coloured copper plate etchings on 400gsm Velin Arches and conservation board
Chiral VI by Bella Easton,940.00,https://www.bearspace.co.uk/product-page/chiral-vi-by-bella-easton,40,18,"Watercolour and hand coloured copper plate etching on Velin Arches,40 X 18CM,Edition of 5,Bespoke frame covered in handmade Japanese paper, ,This frame is included in the sale price of the work, ,£94 a month on the Own Art Scheme, click here for details",Watercolour and hand coloured copper plate etching on Velin Arches
Chiral IV by Bella Easton,940.00,https://www.bearspace.co.uk/product-page/chiral-iv-by-bella-easton,40,18,"Watercolour and hand coloured copper plate etching on Velin Arches,40 X 18CM,Edition of 5,Bespoke frame covered in handmade Japanese paper, ,This frame is included in the sale price of the work, ,£95 a month on the Own Art Scheme, click here for details",Watercolour and hand coloured copper plate etching on Velin Arches
Overland 2 by Jane Ward,1400.00,https://www.bearspace.co.uk/product-page/overland-2-by-jane-ward,90,120,"Archival digital print on canvas,90x120 cm,Edition of 5, ,We are pleased to present a brand new Alpine series of works by Jane Ward based on her recent 3-month residency in the Swiss Alps in 2017. Jane stayed in a fantastic disused school building in the Alpine village of Feutersoey, in the Alpine Region of Canton Bern. The residency took place in early summer when snow was still on the mountain tops but the Alpine area was in full bloom. In one of her reports Jane says ‘There is still snow on the top of the mountains and cable cars take you way up to the ,Diablerets range, where there is a skywalk suspended between the peaks. It’s hard to imagine the land snowed under and all the winter sports activity as I walk along the wanderweg in this sunny warmth listening to rivers, cowbells, birdsong, enjoying the mountain air and beautiful flora of the meadows.’ The contrast of the architectural mountainous regions, flora and fauna and small pockets of houses and huts was great inspiration for the artist who approaches city or mountain scape in the same manner, finding a balance of nature and architecture then colliding them into a new fantastic world.",Archival digital print on canvas
Overland 1 by Jane Ward,1400.00,https://www.bearspace.co.uk/product-page/overland-1-by-jane-ward,90,120,"Archival digital print on canvas,90x120 cm,Edition of 5, ,We are pleased to present a brand new Alpine series of works by Jane Ward based on her recent 3-month residency in the Swiss Alps in 2017. Jane stayed in a fantastic disused school building in the Alpine village of Feutersoey, in the Alpine Region of Canton Bern. The residency took place in early summer when snow was still on the mountain tops but the Alpine area was in full bloom. In one of her reports Jane says ‘There is still snow on the top of the mountains and cable cars take you way up to the ,Diablerets range, where there is a skywalk suspended between the peaks. It’s hard to imagine the land snowed under and all the winter sports activity as I walk along the wanderweg in this sunny warmth listening to rivers, cowbells, birdsong, enjoying the mountain air and beautiful flora of the meadows.’ The contrast of the architectural mountainous regions, flora and fauna and small pockets of houses and huts was great inspiration for the artist who approaches city or mountain scape in the same manner, finding a balance of nature and architecture then colliding them into a new fantastic world.",Archival digital print on canvas
Overland 4 by Jane Ward,1400.00,https://www.bearspace.co.uk/product-page/overland-4-by-jane-ward,90,120,"Archival digital print on canvas,90x120 cm,Edition of 5, ,We are pleased to present a brand new Alpine series of works by Jane Ward based on her recent 3-month residency in the Swiss Alps in 2017. Jane stayed in a fantastic disused school building in the Alpine village of Feutersoey, in the Alpine Region of Canton Bern. The residency took place in early summer when snow was still on the mountain tops but the Alpine area was in full bloom. In one of her reports Jane says ‘There is still snow on the top of the mountains and cable cars take you way up to the ,Diablerets range, where there is a skywalk suspended between the peaks. It’s hard to imagine the land snowed under and all the winter sports activity as I walk along the wanderweg in this sunny warmth listening to rivers, cowbells, birdsong, enjoying the mountain air and beautiful flora of the meadows.’ The contrast of the architectural mountainous regions, flora and fauna and small pockets of houses and huts was great inspiration for the artist who approaches city or mountain scape in the same manner, finding a balance of nature and architecture then colliding them into a new fantastic world.",Archival digital print on canvas
Alpine 1 by Jane Ward,290.00,https://www.bearspace.co.uk/product-page/alpine-1-by-jane-ward,40,30,"Digital print on canvas with hand dissolved ink,40x30 cm,Edition of 10, ,We are pleased to present a brand new Alpine series of works by Jane Ward based on her recent 3-month residency in the Swiss Alps in 2017. Jane stayed in a fantastic disused school building in the Alpine village of Feutersoey, in the Alpine Region of Canton Bern. The residency took place in early summer when snow was still on the mountain tops but the Alpine area was in full bloom. In one of her reports Jane says ‘There is still snow on the top of the mountains and cable cars take you way up to the Diablerets range where there is a skywalk suspended between the peaks. It’s hard to imagine the land snowed under and all the winter sports activity as I walk along the wanderweg in this sunny warmth listening to rivers, cowbells, birdsong, enjoying the mountain air and beautiful flora of the meadows.’ The contrast of the architectural mountainous regions, flora and fauna and small pockets of houses and huts was great inspiration for the artist who approaches city or mountain scape in the same manner, finding a balance of nature and architecture then colliding them into a new fantastic world.",Digital print on canvas with hand dissolved ink
Overland 3 by Jane Ward,1400.00,https://www.bearspace.co.uk/product-page/overland-3-by-jane-ward,90,120,"Archival digital print on canvas,90x120 cm,Edition of 5, ,We are pleased to present a brand new Alpine series of works by Jane Ward based on her recent 3-month residency in the Swiss Alps in 2017. Jane stayed in a fantastic disused school building in the Alpine village of Feutersoey, in the Alpine Region of Canton Bern. The residency took place in early summer when snow was still on the mountain tops but the Alpine area was in full bloom. In one of her reports Jane says ‘There is still snow on the top of the mountains and cable cars take you way up to the ,Diablerets range, where there is a skywalk suspended between the peaks. It’s hard to imagine the land snowed under and all the winter sports activity as I walk along the wanderweg in this sunny warmth listening to rivers, cowbells, birdsong, enjoying the mountain air and beautiful flora of the meadows.’ The contrast of the architectural mountainous regions, flora and fauna and small pockets of houses and huts was great inspiration for the artist who approaches city or mountain scape in the same manner, finding a balance of nature and architecture then colliding them into a new fantastic world.",Archival digital print on canvas
Alpine 2 by Jane Ward,290.00,https://www.bearspace.co.uk/product-page/alpine-2-by-jane-ward,40,30,"Digital print on canvas with hand dissolved ink,40x30 cm,Edition of 10, ,We are pleased to present a brand new Alpine series of works by Jane Ward based on her recent 3-month residency in the Swiss Alps in 2017. Jane stayed in a fantastic disused school building in the Alpine village of Feutersoey, in the Alpine Region of Canton Bern. The residency took place in early summer when snow was still on the mountain tops but the Alpine area was in full bloom. In one of her reports Jane says ‘There is still snow on the top of the mountains and cable cars take you way up to the Diablerets range where there is a skywalk suspended between the peaks. It’s hard to imagine the land snowed under and all the winter sports activity as I walk along the wanderweg in this sunny warmth listening to rivers, cowbells, birdsong, enjoying the mountain air and beautiful flora of the meadows.’ The contrast of the architectural mountainous regions, flora and fauna and small pockets of houses and huts was great inspiration for the artist who approaches city or mountain scape in the same manner, finding a balance of nature and architecture then colliding them into a new fantastic world.",Digital print on canvas with hand dissolved ink
Alpine 4 by Jane Ward,290.00,https://www.bearspace.co.uk/product-page/alpine-3-by-jane-ward,40,30,"Digital print on canvas with hand dissolved ink,40x30 cm,Edition of 10, ,We are pleased to present a brand new Alpine series of works by Jane Ward based on her recent 3-month residency in the Swiss Alps in 2017. Jane stayed in a fantastic disused school building in the Alpine village of Feutersoey, in the Alpine Region of Canton Bern. The residency took place in early summer when snow was still on the mountain tops but the Alpine area was in full bloom. In one of her reports Jane says ‘There is still snow on the top of the mountains and cable cars take you way up to the Diablerets range where there is a skywalk suspended between the peaks. It’s hard to imagine the land snowed under and all the winter sports activity as I walk along the wanderweg in this sunny warmth listening to rivers, cowbells, birdsong, enjoying the mountain air and beautiful flora of the meadows.’ The contrast of the architectural mountainous regions, flora and fauna and small pockets of houses and huts was great inspiration for the artist who approaches city or mountain scape in the same manner, finding a balance of nature and architecture then colliding them into a new fantastic world.",Digital print on canvas with hand dissolved ink
Alpine 3 by Jane Ward,290.00,https://www.bearspace.co.uk/product-page/alpine-3-by-jane-ward-1,40,30,"Digital print on canvas with hand dissolved ink,40x30 cm,Edition of 10, ,We are pleased to present a brand new Alpine series of works by Jane Ward based on her recent 3-month residency in the Swiss Alps in 2017. Jane stayed in a fantastic disused school building in the Alpine village of Feutersoey, in the Alpine Region of Canton Bern. The residency took place in early summer when snow was still on the mountain tops but the Alpine area was in full bloom. In one of her reports Jane says ‘There is still snow on the top of the mountains and cable cars take you way up to the Diablerets range where there is a skywalk suspended between the peaks. It’s hard to imagine the land snowed under and all the winter sports activity as I walk along the wanderweg in this sunny warmth listening to rivers, cowbells, birdsong, enjoying the mountain air and beautiful flora of the meadows.’ The contrast of the architectural mountainous regions, flora and fauna and small pockets of houses and huts was great inspiration for the artist who approaches city or mountain scape in the same manner, finding a balance of nature and architecture then colliding them into a new fantastic world.",Digital print on canvas with hand dissolved ink
Summer Breeze by Lucinda Metcalfe,690.00,https://www.bearspace.co.uk/product-page/summer-breeze-by-lucinda-metcalfe,57.5,45,"57.5cmx45cm ,Framed (piece float mounted in white box frame),Oil paint on primed paper",Framed (piece float mounted in white box frame)
Ennio Fallen by Chris Hawtin,4000.00,https://www.bearspace.co.uk/product-page/ennio-fallen-by-chris-hawtin,198,198,"Oil, enamel, acrylic and plaster on canvas,198x198cm,2017, ,£400 a month on the, Own Art Scheme, email ,info@bearspace.co.uk, to apply.","Oil, enamel, acrylic and plaster on canvas"
YETI OVER MOUNT FUJI (PANTONE YELLOW) by Phil Ashcroft,150.00,https://www.bearspace.co.uk/product-page/yeti-over-mount-fuji-pantone-yellow-by-phil-ashcroft,59.4,42,"screenprint on paper,59.4 x 42cm,2014,Edition of 150",screenprint on paper
Under A Bruised And Leaden Sky by Dominic Badnum,1600.00,https://www.bearspace.co.uk/product-page/under-a-bruised-and-leaden-sky-by-dominic-badnum,100,100,"Oil with charcoal & watercolour on canvas,height 100cm x width 100cm,2017,£160 a month on the Own Art Scheme (please select offline payment in checkout)",Oil with charcoal & watercolour on canvas
Anxiety Machines by Chris Hawtin,1600.00,https://www.bearspace.co.uk/product-page/anxiety-machines,99,99,"Oil, enamel and acrylic on canvas,99x99cm,2017,£160 a month for 10 months on the ,Own Art Scheme, 0% interest loan, ","Oil, enamel and acrylic on canvas"
Then All Was Calm... by Dominic Bradnum,2400.00,https://www.bearspace.co.uk/product-page/then-all-was-calm,110,150,"height 110cm x width 150cm,Oil with charcoal, watercolour, salt & sand on canvas,2017,£240 a month on the Own Art Scheme (please select offline payment in checkout)","Oil with charcoal, watercolour, salt & sand on canvas"
Garden City State 1c by Jane Ward,490.00,https://www.bearspace.co.uk/product-page/garden-city-state-1c-by-jane-ward,60,45,"60x45cm,Digital print with hand dissolved ink and gold leaf,Original edition of 5, ,Each edition is hand finished based on the same print, therefore each edition is bespoke,.  Media such as gold leaf will change dependent on the artists chosen application at that time.",Digital print with hand dissolved ink and gold leaf
Gregor's Hollow by Chris Hawtin,4000.00,https://www.bearspace.co.uk/product-page/gregor-s-hollow-by-chris-hawtin,198,198,"Oil, enamel, acrylic and resin on canvas,198x198cm,2017,£400 a month for 10 months on the ,Own Art Scheme, 0% interest loan, available on checkout","Oil, enamel, acrylic and resin on canvas"
Garden City State 1b by Jane Ward,490.00,https://www.bearspace.co.uk/product-page/garden-city-state-1b-by-jane-ward,60,45,"60x45cm,Digital print with hand dissolved ink and gold leaf,Original edition of 5, ,Each edition is hand finished based on the same print, therefore each edition is bespoke,.  Media such as gold leaf will change dependent on the artists chosen application at that time.",Digital print with hand dissolved ink and gold leaf
I Crash Into Your Arms by Dominic Bradnum,1400.00,https://www.bearspace.co.uk/product-page/i-crash-into-your-arms,70,100,"Oil with charcoal, watercolour, salt & sand on canvas,height 70cm x width 100cm,2017,£140 a month on the Own Art Scheme (please select offline payment in checkout)","Oil with charcoal, watercolour, salt & sand on canvas"
Protist Peak by Chris Hawtin,690.00,https://www.bearspace.co.uk/product-page/protist-peak-by-chris-hawtin,40,50,"Oil and acrylic on canvas,40x50cm,2017,£69, a month for 10 months on the ,Own Art Scheme, 0% interest loan, available on checkout",Oil and acrylic on canvas
Jerome's Peak by Chris Hawtin,2400.00,https://www.bearspace.co.uk/product-page/jerome-s-peak-by-chris-hawtin,132,143,"Oil,enamel and acrylic on canvas,132x143cm,2017,£240 a month for 10 months on the ,Own Art Scheme, 0% interest loan, available on checkout","Oil,enamel and acrylic on canvas"
Photeus at the Pythia by Chris Hawtin,1200.00,https://www.bearspace.co.uk/product-page/photeus-at-the-pythia-by-chris-hawtin,70,70,"Oil and acrylic on canvas,70x70cm,2017,£120, a month for 10 months on the ,Own Art Scheme, 0% interest loan, available on checkout",Oil and acrylic on canvas
Relic Engines by Chris Hawtin,690.00,https://www.bearspace.co.uk/product-page/relic-engines-by-chris-hawtin,45,40,"Oil, enamel and acrylic on canvas,45x40cm,2017,£69, a month for 10 months on the ,Own Art Scheme, 0% interest loan, available on checkout","Oil, enamel and acrylic on canvas"
Seth's Narrows by Chris Hawtin,800.00,https://www.bearspace.co.uk/product-page/seth-s-narrows-by-chris-hawtin,59,47,"Oil and acrylic on canvas,59x47cm,2017,£80 ,a month for 10 months on the ,Own Art Scheme, 0% interest loan, available on checkout",Oil and acrylic on canvas
Tilt by Chris Hawton,800.00,https://www.bearspace.co.uk/product-page/tilt-by-chris-hawton,51,46,"Oil and acrylic on canvas,51x46cm,2017,£80, a month for 10 months on the ,Own Art Scheme, 0% interest loan, available on checkout",Oil and acrylic on canvas
The Scientist by Chris Hawtin,250.00,https://www.bearspace.co.uk/product-page/the-scientist-by-chris-hawtin,76,56,"Screen print on paper,76x56cm,Edition of 15,£25, a month for 10 months on the ,Own Art Scheme, 0% interest loan, available on checkout,Framing options available, please enquire on checkout",Screen print on paper
The Cope Marsh Station by Chris Hawtin,1400.00,https://www.bearspace.co.uk/product-page/the-cope-marsh-station,86,86,"Oil on canvas,86x86 cm,2017,£140, a month for 10 months on the ,Own Art Scheme, 0% interest loan, available on checkout",Oil on canvas
The Vandal by Chris Hawtin,250.00,https://www.bearspace.co.uk/product-page/the-vandal-by-chris-hawtin,76,56,"Screenprint on paper,76x56cm,2017,£25, a month for 10 months on the ,Own Art Scheme, 0% interest loan, available on checkout,Framing options available, please enquire on checkout",Screenprint on paper
March by Chris Hawtin,940.00,https://www.bearspace.co.uk/product-page/march-by-chris-hawtin,57,62,"Oil on Canvas,57x62cm,2017,£94 ,a month for 10 months on the ,Own Art Scheme, 0% interest loan, available on checkout",Oil on Canvas
Feralis by Suzanne Moxhay,690.00,https://www.bearspace.co.uk/product-page/feralis-by-suzanne-moxhay,68,55,"68X55 CM,Archival Digital print,Edition of 10 (1 remaining)",Archival Digital print
The Hidden City by Chris Hawtin,1600.00,https://www.bearspace.co.uk/product-page/the-hidden-city-by-chris-hawtin,87,101,"Oil and enamel on canvas,87x101cm,2017, ,£160, a month for 10 months on the ,Own Art Scheme, 0% interest loan",Oil and enamel on canvas
Athne by Suzanne Moxhay,690.00,https://www.bearspace.co.uk/product-page/athne-by-suzanne-moxhay,100,50,"100X50CM,Archival Digital Print ,Edition of 10 (1 remaining)",Archival Digital Print 
The Dawn Chorus by Chris Hawtin,3800.00,https://www.bearspace.co.uk/product-page/the-dawn-chorus-by-chris-hawtin,170,160,"170x160cm,Oil and acrylic on Canvas,£380, a month for 10 months on the ,Own Art Scheme, 0% interest loan, available on checkout",Oil and acrylic on Canvas
Boondocks by Suzanne Moxhay,690.00,https://www.bearspace.co.uk/product-page/boondocks-by-suzanne-moxhay,92,45,"92X45 CM,Archival Digital Print ,Edition of 10 (1 remaining)",Archival Digital Print 
(GCS) High Rise - Jane Ward,990.00,https://www.bearspace.co.uk/product-page/gcs-high-rise-jane-ward,80,60,"Digital print with dissolved ink,80x60cm,Edition 1",Digital print with dissolved ink
Bayou,690.00,https://www.bearspace.co.uk/product-page/bayou,100,44,"100x44 cm,Archival digital print,Edition of 10 (only 1 remaining)",Archival digital print
Gloaming by Suzanne Moxhay,690.00,https://www.bearspace.co.uk/product-page/gloaming-by-suzanne-moxhay,60,40,"60x40cm,Archival Digital print,Edition of 10 (1 remaining)",Archival Digital print
"'Retreating, then advancing repeatedly over the centuries'5 by Janie Kidston",540.00,https://www.bearspace.co.uk/product-page/retreating-then-advancing-repeatedly-over-the-centuries-5,50,60,"50x60cm,Archival inkjet print,Edition of 5, ",Archival inkjet print
"'Retreating, then advancing repeatedly over the centuries 6' by Janie Kidston",540.00,https://www.bearspace.co.uk/product-page/retreating-then-advancing-repeatedly-over-the-centuries-6-by-janie-kidston,50,60,"50x60cm,Archival Inkjet Print,Edition of 5",Archival Inkjet Print
Jubellied (joy song) by Nadja Gabriela Plein,490.00,https://www.bearspace.co.uk/product-page/jubellied-joy-song-by-nadja-gabriela-plein,50,41,"50 x 41cm,Paint onto Aluminium with subframe,This works hovers away from the wall, ,This is part of a small group of small works of oil on aluminium. There is a sense of intimacy and sensuality in them, a focused improvisation of close harmonies and an intensely felt awareness of the present moment.",Paint onto Aluminium with subframe
"'Retreating, then advancing repeatedly over the centuries 3' by Janie Kidston",540.00,https://www.bearspace.co.uk/product-page/retreating-then-advancing-repeatedly-over-the-centuries-3-by-janie-kidston,50,60,"50x60cm,Archival inkjet print,Edition of 5",Archival inkjet print
Lucinda Metcalfe - Neon Pool,640.00,https://www.bearspace.co.uk/product-page/neon-pool,39,49.5,"Acrylic and oil on board,2016,39x49.5cm",Acrylic and oil on board
Walking Out Over Ice in Midsummer 1 by Janie Kidston,940.00,https://www.bearspace.co.uk/product-page/walking-out-over-ice-in-midsummer-1,84,59,"Archival Digital Print,84cms x 59cms,Edition of 5, ",Archival Digital Print
Moving from the side of the valley by Janie Kidston,540.00,https://www.bearspace.co.uk/product-page/moving-from-the-side-of-the-vallery,50,60,"50x60 cm,Archival digital print,Edition of 5",Archival digital print
Sky Walk by Jane ward,940.00,https://www.bearspace.co.uk/product-page/sky-walk-by-jane-ward,90,70,"90x70cm,Digital Print on Canvas with Dissolved ink,Edition of 10",Digital Print on Canvas with Dissolved ink
Castle by Jane Ward,940.00,https://www.bearspace.co.uk/product-page/castle-by-jane-ward,90,70,"90x70cm,Digital print on Canvas with dissolved ink,Edition of 10",Digital print on Canvas with dissolved ink
Amongst the Impcat Scars by Jane Ward,1400.00,https://www.bearspace.co.uk/product-page/amongst-the-impcat-scars,125,90,"125x90,Digital print on canvas with hand dissoved ink,Original Artwork",Digital print on canvas with hand dissoved ink
Heated Discussion by Lucinda Metcalfe,640.00,https://www.bearspace.co.uk/product-page/heated-discussion-by-lucinda-metcalfe,43,38,"43x38cm,Oil Paint on Board",Oil Paint on Board
Secret Place by Natasha Kissell,940.00,https://www.bearspace.co.uk/product-page/secret-place-by-natasha-kissell,70,60,"70x60cm,Oil paint onto Canvas,Original Artwork",Oil paint onto Canvas
MYRIORAMA ROOM series –ARMCHAIR by Bella Easton,2800.00,https://www.bearspace.co.uk/product-page/myriorama-room-series-armchair-by-bella-easton,89,117,"Artist: Bella Easton,89 x 117cm (including dimensions of frame),88 hand coloured copper plate etchings on 400gsm Velin Arches and conservation board,Edition of 10, ,£280 a month on the Own Art Scheme,Due to the delicate nature of the work, this piece is sold framed (included in the price) , if you would like to discuss having this piece unframed pease do enquire and we can discuss this with you.",88 hand coloured copper plate etchings on 400gsm Velin Arches and conservation board
The Wheel by Chris Hawtin,4000.00,https://www.bearspace.co.uk/product-page/the-wheel-by-chris-hawtin,198,198,"Oil, enamel, acrylic and plaster on canvas,198x198cm,2017, ,£400 a month on the, Own Art Scheme, email ,info@bearspace.co.uk, to apply.","Oil, enamel, acrylic and plaster on canvas"
Garden City State 1a by Jane Ward,490.00,https://www.bearspace.co.uk/product-page/garden-city-state-1a-by-jane-ward,60,45,"60x45cm,Digital print with hand dissolved ink and gold leaf,Original edition of 5, ,Each edition is hand finished based on the same print, therefore each edition is bespoke,.  Media such as gold leaf will change dependent on the artists chosen application at that time., ",Digital print with hand dissolved ink and gold leaf
Emplacement 3 by Victoria Ashdown,180.00,https://www.bearspace.co.uk/product-page/emplacement-3-by-victoria-ashdown,15,42,"15x42x9 cm,Green acrylic, wood, steel, wire,Original Artwork, ,Using the ceramic process of extruding Ashdown lets gravity determine the shape of the porcelain. Then uses laser cut plastic and wood to fit into the negative spaces created by the porcelain. These processes combine analogy and digital technology., ,Read more about the artist here, ","Green acrylic, wood, steel, wire"
Venn's Bluff by Chris Hawtin,3800.00,https://www.bearspace.co.uk/product-page/venn-s-bluff-by-chris-hawtin,180,180,"Oil, enamel, acrylic and plaster on canvas,180x180cm,2017, ,£380 a month on the, Own Art Scheme, email ,info@bearspace.co.uk, to apply.","Oil, enamel, acrylic and plaster on canvas"
Emplacement 5 by Victoria Ashdown,240.00,https://www.bearspace.co.uk/product-page/emplacement-5-by-victoria-ashdown,40,26,"40x26x8 cm,porcelain, pink acrylic, wood, steel, wire,Original Artwork, ,Using the ceramic process of extruding Ashdown lets gravity determine the shape of the porcelain. Then uses laser cut plastic and wood to fit into the negative spaces created by the porcelain. These processes combine analogy and digital technology., ,Read more about the artist here, ","porcelain, pink acrylic, wood, steel, wire"
